                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.468,                 2.5992,                 1.7185,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00047341,             0.00047341,             0.00047341
                      2,                 1.1222,                 1.5752,                 1.3659,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00093094,             0.00093094,             0.00093094
                      3,                 1.0845,                 1.4304,                  1.333,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013696,              0.0013696,              0.0013696
                      4,                 1.0773,                 1.2875,                 1.3191,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.0489,                 1.1524,                 1.3041,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.0171,                 1.1176,                 1.2893,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.0062,                  1.104,                 1.2844,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                      8,                0.96587,                 1.0263,                 1.2652,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      9,                0.94867,                0.97353,                 1.2348,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     10,                0.94427,                0.96343,                 1.2447,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     11,                0.95192,                 0.9822,                 1.2634,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     12,                0.90239,                0.91444,                 1.2171,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     13,                0.89117,                0.87711,                 1.2202,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     14,                0.88346,                0.85729,                  1.208,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     15,                0.87612,                0.85877,                 1.2166,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     16,                0.87932,                 0.8545,                 1.2013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     17,                0.82893,                0.81962,                 1.1918,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     18,                0.85311,                0.82503,                  1.205,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     19,                0.83218,                0.77119,                 1.1836,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     20,                0.83146,                0.80273,                 1.1788,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     21,                 0.8211,                0.76837,                 1.1695,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     22,                0.77308,                0.73381,                 1.1447,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     23,                0.80207,                0.76109,                 1.1745,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     24,                0.77919,                0.74461,                 1.1464,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     25,                0.76326,                0.74077,                 1.1459,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     26,                0.77677,                0.69266,                 1.1499,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     27,                0.76078,                 0.7157,                 1.1292,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     28,                0.74466,                0.70036,                 1.1424,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     29,                0.74674,                 0.6825,                 1.1274,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     30,                0.73124,                0.64798,                 1.1062,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     31,                0.73103,                0.68717,                 1.1273,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     32,                0.70853,                 0.6494,                 1.1142,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     33,                0.70327,                0.64783,                 1.1084,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     34,                0.70513,                 0.6323,                 1.1024,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     35,                 0.6934,                 0.6122,                 1.0995,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     36,                0.68655,                0.63024,                 1.0941,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     37,                0.69654,                0.62776,                 1.0922,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     38,                 0.6667,                0.60391,                 1.0835,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     39,                0.67671,                0.61116,                 1.0884,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     40,                 0.6532,                0.57173,                 1.0737,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
